# git-filter-repo commit map for the protocol/ import (source JMSBPP/cfmm-vol-markets@627566ee2cb91556e5fbf909d9d3197bb06a5d77, tag archive/pre-restructure)
# columns: old-sha new-sha (new = 0000… means pruned)
old                                      new
00a6fe8878b0e702d3490f478fea640f499e3a6d 0000000000000000000000000000000000000000
00d40b3817bde2259aaa9c5e7a8e38fef2b5d95d 0000000000000000000000000000000000000000
00dbe8c2ee146e9a9b68498e52f68ea62d348d59 0000000000000000000000000000000000000000
010ef2abb2daf3c155e3aded78db0a622c637364 0000000000000000000000000000000000000000
011eb52cce8974fefc803c20fddc3851ef431635 0000000000000000000000000000000000000000
0141ce766514c43a747209c4b09de8cb7e7dfdba 0000000000000000000000000000000000000000
0258034fc11d142ef37e0f63b4e8c3dbf46ceb81 0000000000000000000000000000000000000000
025ee9d441c8916decc25ebb21e7febd22b07d50 0000000000000000000000000000000000000000
034f963bce4b058a184328b689773f0822888ba3 0000000000000000000000000000000000000000
036eab77e969e5d6d0e81b4ca0f504e1943611fa 0000000000000000000000000000000000000000
046f863f6fa03d23d7042e097f027451ecfc295a 0000000000000000000000000000000000000000
048233ea952a352ba426675d12b9947952d79815 0000000000000000000000000000000000000000
04a07c0bf9ddffb9cab524970dd1a941b45d03e3 0000000000000000000000000000000000000000
04b6304587578d585a85665dded0760f38223f4b 0000000000000000000000000000000000000000
05b279d2aa8e9c2b5b83c2c6a612b94b9dd59cb3 0000000000000000000000000000000000000000
05d2912049068aeab8a38e6cd43cf62631f80650 0000000000000000000000000000000000000000
0652a61587796c702377a06b712231a0ba822407 0000000000000000000000000000000000000000
06ab02ecf7ba4b5db4d3d02ac9833ea95e1f91df 0000000000000000000000000000000000000000
07ca8a994a2430f1d7d9cc8a7758bd1326c65852 0000000000000000000000000000000000000000
07f55af4a49923d7df4dceb47da5e4dd253f0add 0000000000000000000000000000000000000000
07f5e0b4e4dccac469ebc431bd6e38692a4b821f 0000000000000000000000000000000000000000
08039da14642978df5373d6b2092c5760c4f9eca 0000000000000000000000000000000000000000
083b68f5c33b65401d9b06f4db3eac1ee4ab2061 0000000000000000000000000000000000000000
08b3d8342cd3381dbed6bdfa259d1f63d9b7431d 0000000000000000000000000000000000000000
08f934330156d2eaba58ff27ed2447bb8cf531d4 0000000000000000000000000000000000000000
091e794fffc39c86bf6053276e8b9733ccc20089 0000000000000000000000000000000000000000
09de647c51fcaf272bf11d73a3c0b1e266042539 0000000000000000000000000000000000000000
09e084690c2f3a8d4ecf388b759ec50b2826c9dc 0000000000000000000000000000000000000000
0a5b2f996f0f87eef0b286c5a224b7ce80e2cbe2 0000000000000000000000000000000000000000
0a90bb2a0932fc10322f9afcf21cd82f6ac3f18b 0000000000000000000000000000000000000000
0b0d397c120ade4076f43696f8172a0fa8ea18c2 0000000000000000000000000000000000000000
0b7d444165b24d2aac6f0a5648fcfff6818e1e31 0000000000000000000000000000000000000000
0b806d71d73c93d1a77fb47246c99f38213ee9f7 0000000000000000000000000000000000000000
0bc5cf261ad6d05d19dfd6fc3740722401e00337 0000000000000000000000000000000000000000
0cc21de5b3b87e5c0a62f75fdb7f951cbe4b27fd bc7a075c780a820fdf94817c983f49bb86bd9ebe
0d08d3d420142d1161b0b895afb3040da665081b 0000000000000000000000000000000000000000
0d2104b11371f91697f4261e8dbf2edd9add897e 0000000000000000000000000000000000000000
