# git-filter-repo commit map for the lean4-spec import (TODO #37, PR feat/todo-37-lean-migration)
# source: cfmm-replicationPlank feat/lean4-spec@fdc714e ; columns: old-sha new-sha (new = 0000… means pruned)
# pass 1 (path filter) then pass 2 (strip *.tar.gz, *.pdf); compose pass1 then pass2 to resolve a Plank SHA.
## pass 1
old                                      new
1750649e1512596a9c964fc358d7a9cbcbbe3a8b 0000000000000000000000000000000000000000
175a6f834f27e96a5d8490939222ae4fefc9ad7a 0000000000000000000000000000000000000000
17ebb86b39da84a9c62f91bc28eeca7516cd8e09 0000000000000000000000000000000000000000
1844e5740c7c97b00190a596fc4633245cfd2d44 63307b71fd460687ca8ec989d4caa53ebeb4df60
1858e238809eb6355c7028e11419170b20e61554 0000000000000000000000000000000000000000
18f9c84544286a8336593aad3313b8d08aea97d8 0000000000000000000000000000000000000000
194a96a1e76b4ccc3746b5ffd6bc32c987b2bf18 0000000000000000000000000000000000000000
199720aff1c1278073fe109de73e72a2c888e69c 0000000000000000000000000000000000000000
19a06f3277f523fc2510019fbe0259b5c9c9dd3e 0000000000000000000000000000000000000000
19d3e07208bcb795fa614921d310e4ca21140264 ca8154958d547545993b0f621e521d5c1fba399c
1c0c7eefb13aab2998e3c8ac3d43f3af6b644ebc 0000000000000000000000000000000000000000
1c26c66b972219b0419a9d62f677db96deb5c3f8 0000000000000000000000000000000000000000
1c41935caf68cb495df5a5beaffb5ba0cf54b05d 0000000000000000000000000000000000000000
1c49eb0a4533d253a9a4a24b6b32798bfe931196 0000000000000000000000000000000000000000
1c94b159a3dcfc9f0b6b714b49ab50f7d86971fa 0000000000000000000000000000000000000000
1c9f1d143073b362ea00006602c185e1967bf158 0000000000000000000000000000000000000000
1cb45a2d22fad1f629bc9df49ce596fe2a77edb5 0000000000000000000000000000000000000000
1d28146425646a2b6dbb0f0556e66c746787d143 0000000000000000000000000000000000000000
1d283146b171deebff72ecd1fa2fcf97a9385187 1bd8d0b1b2bca74c0b5110f997a89810cd691fb1
1d76594268218e85aa8a8a1225c3442f7a3995e6 0000000000000000000000000000000000000000
1d969c6dc6a5c163193a6ec67492fdedd75046f1 0000000000000000000000000000000000000000
1e49f00014b1aa13f6dcd6777fdca69957f30858 0000000000000000000000000000000000000000
1e9ae0c4761a5598132ee69141cb7e1ffbb0b269 0000000000000000000000000000000000000000
1f038ed7431da7a39f54426c1686f89d80453efd 0000000000000000000000000000000000000000
1f099ef7f2b03840085a7baca2796382a0f5c1ce 8dac6b744b7ea5e450f563a6562a427f3f3fb2ae
1f6b26d4bcc59b548e4022c8282306a363ccda32 7642ce9d464bdef7a114894b05df0dae23deaaf0
1f82663727485f98e8a33e29f126cb9f2af1ffdc 0000000000000000000000000000000000000000
1fdc887232e587d57700e9fe2c77dd99983b1582 fc96b54fb823d77c56bb80279ee9e5ae610ba6fc
1fe130def7bfa6c3419835108542c88226de9605 0000000000000000000000000000000000000000
2011e724f8911ea0477734f9b8b4d31fbdd27e68 0000000000000000000000000000000000000000
